country,happiness,standard error of happiness,log GDP per capita
Sierra Leone,3.92639994621277,0.061150789260864,7.26880311965942
Burundi,3.77530002593994,0.107122384011745,6.49264240264893
Zambia,3.75939989089966,0.060676690191031,8.2247200012207
Haiti,3.72079992294312,0.101463004946709,7.41132926940918
Lesotho,3.6528000831604,0.082120984792709,7.96048831939697
India,3.57329988479614,0.027702234685421,8.84982395172119
Malawi,3.53800010681152,0.070260517299175,7.06222629547119
Yemen,3.52740001678467,0.054158084094524,7.75968265533447
Botswana,3.47889995574951,0.060542691498995,9.71120357513428
Tanzania,3.47620010375977,0.063209749758244,7.96766519546509
Central African Republic,3.47589993476868,0.11518295109272,6.62516021728516
Rwanda,3.31229996681213,0.05242520943284,7.60010433197022
Zimbabwe,3.2992000579834,0.058674462139607,7.86571168899536
South Sudan,2.81660008430481,0.107610404491425,7.42535972595215
Afghanistan,2.56690001487732,0.031311426311731,7.46286058425903
